"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Oligo","CERAD","complete","region","MTG",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",81,81,1,4,19898,6,6,2.52480474755779,10,,"region_specific_pathology",1,,"Oligo__CERAD__gene_results.csv","","","Oligo__CERAD__samples.csv"
"Oligo","Braak","complete","region","MTG",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",81,81,0,6,19898,6,6,2.63581409919323,10,,"region_specific_pathology",1,,"Oligo__Braak__gene_results.csv","","","Oligo__Braak__samples.csv"
