level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,18,18,13,13,-0.15616534634998316,-0.15616534634998316,,-0.027228577062487602,0.16122381389141083,-0.12893676928749556,0.43125687431256876,-0.23809183697189473,-0.09194016621871247,False,0.15833701679679157,
disease,AD,ALL,18,18,13,13,-0.15616534634998316,-0.15616534634998316,,-0.027228577062487602,0.16122381389141083,-0.12893676928749556,0.43125687431256876,-0.23809183697189473,-0.09194016621871247,False,0.15833701679679157,
stratum,AD,EN,18,18,13,13,-0.15616534634998316,-0.15616534634998316,,-0.027228577062487602,0.16122381389141083,-0.12893676928749556,0.43125687431256876,-0.23809183697189473,-0.09194016621871247,False,0.15833701679679157,0.43125687431256876
