level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.08981174515245767,0.08981174515245767,,0.05787130072712898,0.15595699846744537,0.03194044442532869,0.8388161183881612,0.04446935466088163,0.13388015956507993,False,0.07917000431167116,
disease,AD,ALL,25,25,21,21,0.08981174515245767,0.08981174515245767,,0.05787130072712898,0.15595699846744537,0.03194044442532869,0.8388161183881612,0.04446935466088163,0.13388015956507993,False,0.07917000431167116,
stratum,AD,Immune,25,25,21,21,0.08981174515245767,0.08981174515245767,,0.05787130072712898,0.15595699846744537,0.03194044442532869,0.8388161183881612,0.04446935466088163,0.13388015956507993,False,0.07917000431167116,0.8388161183881612
