level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.11413470639053151,-0.11413470639053151,,-0.08229121565818787,0.22764135897159576,-0.031843490732343646,0.8867113288671132,-0.252875429776378,-0.0038166645432602953,False,0.15551977743278053,
disease,AD,ALL,9,9,9,9,-0.11413470639053151,-0.11413470639053151,,-0.08229121565818787,0.22764135897159576,-0.031843490732343646,0.8867113288671132,-0.252875429776378,-0.0038166645432602953,False,0.15551977743278053,
stratum,AD,Oligo,9,9,9,9,-0.11413470639053151,-0.11413470639053151,,-0.08229121565818787,0.22764135897159576,-0.031843490732343646,0.8867113288671132,-0.252875429776378,-0.0038166645432602953,False,0.15551977743278053,0.8867113288671132
