"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Oligo","CERAD","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z;composition_PC3_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z + composition_PC3_z",80,80,1,4,19873,9,9,3.19617395177927,10,,"region_specific_pathology",10,,"Oligo__CERAD__gene_results.csv","","","Oligo__CERAD__samples.csv"
"Oligo","Braak","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z;composition_PC3_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z + composition_PC3_z",80,80,0,6,19873,9,9,3.12921785844993,10,,"region_specific_pathology",0,,"Oligo__Braak__gene_results.csv","","","Oligo__Braak__samples.csv"
