level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.35509095165185367,-0.35509095165185367,,0.026081468909978867,0.20447620749473572,-0.38117242056183254,0.060993900609939006,-0.5007327046824579,-0.27463022339860216,False,0.17380322198228287,
disease,AD,ALL,9,9,9,9,-0.35509095165185367,-0.35509095165185367,,0.026081468909978867,0.20447620749473572,-0.38117242056183254,0.060993900609939006,-0.5007327046824579,-0.27463022339860216,False,0.17380322198228287,
stratum,AD,Oligo,9,9,9,9,-0.35509095165185367,-0.35509095165185367,,0.026081468909978867,0.20447620749473572,-0.38117242056183254,0.060993900609939006,-0.5007327046824579,-0.27463022339860216,False,0.17380322198228287,0.060993900609939006
