"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Immune","CERAD","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z",81,81,1,4,20808,8,8,2.69720158745573,10,,"region_specific_pathology",39,,"Immune__CERAD__gene_results.csv","","","Immune__CERAD__samples.csv"
"Immune","Braak","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z",81,81,0,6,20808,8,8,2.74538479556635,10,,"region_specific_pathology",47,,"Immune__Braak__gene_results.csv","","","Immune__Braak__samples.csv"
