level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.05963998710922046,0.05963998710922046,,0.05514633283019066,0.15112251043319702,0.004493654279029799,0.9762023797620238,0.012633107960379999,0.11096373157493407,False,0.07154022999627319,
disease,AD,ALL,25,25,21,21,0.05963998710922046,0.05963998710922046,,0.05514633283019066,0.15112251043319702,0.004493654279029799,0.9762023797620238,0.012633107960379999,0.11096373157493407,False,0.07154022999627319,
stratum,AD,Immune,25,25,21,21,0.05963998710922046,0.05963998710922046,,0.05514633283019066,0.15112251043319702,0.004493654279029799,0.9762023797620238,0.012633107960379999,0.11096373157493407,False,0.07154022999627319,0.9762023797620238
