level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.07428579064391674,0.07428579064391674,,0.0257437564432621,0.16093620657920837,0.048542034200654643,0.7679232076792321,0.02800236488607717,0.12785690385379367,False,0.06632549633739629,
disease,AD,ALL,25,25,21,21,0.07428579064391674,0.07428579064391674,,0.0257437564432621,0.16093620657920837,0.048542034200654643,0.7679232076792321,0.02800236488607717,0.12785690385379367,False,0.06632549633739629,
stratum,AD,Immune,25,25,21,21,0.07428579064391674,0.07428579064391674,,0.0257437564432621,0.16093620657920837,0.048542034200654643,0.7679232076792321,0.02800236488607717,0.12785690385379367,False,0.06632549633739629,0.7679232076792321
