level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.10815275889848522,0.10815275889848522,,0.021256424486637115,0.08063220232725143,0.0868963344118481,0.2846715328467153,0.08416172858862161,0.13711673944969086,False,0.06650510862812069,
disease,AD,ALL,72,72,36,36,0.10815275889848522,0.10815275889848522,,0.021256424486637115,0.08063220232725143,0.0868963344118481,0.2846715328467153,0.08416172858862161,0.13711673944969086,False,0.06650510862812069,
stratum,AD,Astro,8,8,7,7,0.06299900393098058,0.06299900393098058,,0.18146005272865295,0.19676131010055542,-0.11846104879767237,0.5549445055494451,-0.08517873420228954,0.23016369691318786,True,0.2112113853572093,0.7640485951404861
stratum,AD,EN,18,18,13,13,0.17904946974024438,0.17904946974024438,,0.055208735167980194,0.1427232325077057,0.12384073457226419,0.39216078392160786,0.11600805679085861,0.25418602933383144,False,0.1436813756567962,0.7640485951404861
stratum,AD,IN,10,10,8,8,0.2881692393051357,0.2881692393051357,,0.20050190389156342,0.16987591981887817,0.0876673354135723,0.6112388761123888,0.20407488993652032,0.42668204161531037,False,0.2286373812558938,0.7640485951404861
stratum,AD,Immune,24,24,20,20,0.012851868484970292,0.012851868484970292,,0.02000800147652626,0.12752501666545868,-0.007156132991555968,0.9531046895310469,-0.03678129872814305,0.06599593535498992,True,0.08677020444346802,0.9531046895310469
stratum,AD,OPC,3,3,3,3,-0.16946460331676824,-0.16946460331676824,,,,,,-0.5278861394892588,0.08192605813578013,True,0.4193279559378297,
stratum,AD,Oligo,9,9,9,9,0.27936503959384495,0.27936503959384495,,-0.06753852218389511,0.17694315314292908,0.34690356177774007,0.048595140485951406,0.19377602193105373,0.4068781404887311,False,0.17448583426965694,0.24297570242975702
