"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"EN","CERAD","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",245,84,1,4,20464,10,10,4.30420342738947,25,0.540468903401696,"equal_region_average_pathology",7243,56,"EN__CERAD__gene_results.csv","EN__CERAD__region_contrasts.csv","EN__CERAD__joint_region_interaction.csv","EN__CERAD__samples.csv"
"EN","Braak","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",245,84,0,6,20464,10,10,4.3505787573304,25,0.545861970650939,"equal_region_average_pathology",2797,5,"EN__Braak__gene_results.csv","EN__Braak__region_contrasts.csv","EN__Braak__joint_region_interaction.csv","EN__Braak__samples.csv"
