"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"EN","CERAD","complete","region","MTG",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",84,84,1,4,19899,6,6,2.65661392279724,10,,"region_specific_pathology",2692,,"EN__CERAD__gene_results.csv","","","EN__CERAD__samples.csv"
"EN","Braak","complete","region","MTG",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",84,84,0,6,19899,6,6,2.64382855628747,10,,"region_specific_pathology",525,,"EN__Braak__gene_results.csv","","","EN__Braak__samples.csv"
