level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.14409131092851796,0.14409131092851796,,0.019420867785811424,0.07677475363016129,0.12467044314270653,0.1045895410458954,0.1204320399167334,0.17447873117233323,False,0.06892646698054462,
disease,AD,ALL,72,72,36,36,0.14409131092851796,0.14409131092851796,,0.019420867785811424,0.07677475363016129,0.12467044314270653,0.1045895410458954,0.1204320399167334,0.17447873117233323,False,0.06892646698054462,
stratum,AD,Astro,8,8,7,7,0.17283136333260346,0.17283136333260346,,0.02392357960343361,0.20335137844085693,0.14890778372916985,0.46805319468053197,0.05413678584422007,0.3267795826434425,False,0.23295339988314837,0.585066493350665
stratum,AD,EN,18,18,13,13,0.29640567101080484,0.29640567101080484,,-0.0048661865293979645,0.13692902028560638,0.3012718575402028,0.027897210278972105,0.2452779582234319,0.36783784779508855,False,0.14402401372606602,0.13948605139486053
stratum,AD,IN,10,10,8,8,0.43864412636828143,0.43864412636828143,,0.17981170117855072,0.16714519262313843,0.2588324251897307,0.12258774122587741,0.3692066522045932,0.523543618608576,False,0.24204075279233983,0.30646935306469353
stratum,AD,Immune,24,24,20,20,0.09033177481871477,0.09033177481871477,,0.031003961339592934,0.11798477917909622,0.05932781347912183,0.6087391260873912,0.043919457896490426,0.1463658967410748,False,0.09861935568998012,0.6087391260873912
stratum,AD,OPC,3,3,3,3,-0.44105902536788527,-0.44105902536788527,,,,,,-0.728897703325869,-0.2529391331583358,False,0.5132452645279004,
stratum,AD,Oligo,9,9,9,9,0.13653887018924904,0.13653887018924904,,-0.001519522164016962,0.16581790149211884,0.138058392353266,0.41055894410558946,0.05932476504944634,0.24425483572497844,False,0.16832899380423785,0.585066493350665
