level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.03327051123117003,0.03327051123117003,,0.03342060744762421,0.07959458231925964,-0.00015009621645417637,0.9985001499850015,0.007511774449507274,0.06135134415921001,False,0.06511822924837274,
disease,AD,ALL,72,72,36,36,0.03327051123117003,0.03327051123117003,,0.03342060744762421,0.07959458231925964,-0.00015009621645417637,0.9985001499850015,0.007511774449507274,0.06135134415921001,False,0.06511822924837274,
stratum,AD,Astro,8,8,7,7,0.07212239324418691,0.07212239324418691,,0.13381776213645935,0.20465360581874847,-0.06169536889227244,0.7673232676732327,-0.03478420653954062,0.21303120183741342,True,0.22552393731140188,0.9601039896010398
stratum,AD,EN,18,18,13,13,0.1899681142578468,0.1899681142578468,,0.044049087911844254,0.13829666376113892,0.14591902634600254,0.296970302969703,0.13326500770609204,0.258328226465849,False,0.192829991613244,0.9601039896010398
stratum,AD,IN,10,10,8,8,0.11894145528741198,0.11894145528741198,,0.12672226130962372,0.16951586306095123,-0.007780806022211734,0.9601039896010399,0.012899257436464936,0.2169983216650022,False,0.2574211242382625,0.9601039896010398
stratum,AD,Immune,24,24,20,20,-0.06543569289973368,-0.06543569289973368,,0.023426413536071777,0.12760357558727264,-0.08886210643580546,0.49065093490650935,-0.11904284598403542,-0.02147857795476936,False,0.0897341115549275,0.9601039896010398
stratum,AD,OPC,3,3,3,3,0.019289287952064416,0.019289287952064416,,,,,,-0.31816189978478754,0.3590241685413661,True,0.5036839008393631,
stratum,AD,Oligo,9,9,9,9,-0.03941135261635656,-0.03941135261635656,,0.008235457353293896,0.1621452420949936,-0.047646809969650455,0.7717228277172283,-0.1451650972919245,0.07435705846287757,True,0.20802964320599796,0.9601039896010398
