level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,-0.01693119704702739,-0.01693119704702739,,0.02919766865670681,0.14377425611019135,-0.0461288657037342,0.7475252474752525,-0.06731326027036053,0.03207376974585085,True,0.06770607387180033,
disease,AD,ALL,25,25,21,21,-0.01693119704702739,-0.01693119704702739,,0.02919766865670681,0.14377425611019135,-0.0461288657037342,0.7475252474752525,-0.06731326027036053,0.03207376974585085,True,0.06770607387180033,
stratum,AD,Immune,25,25,21,21,-0.01693119704702739,-0.01693119704702739,,0.02919766865670681,0.14377425611019135,-0.0461288657037342,0.7475252474752525,-0.06731326027036053,0.03207376974585085,True,0.06770607387180033,0.7475252474752525
