level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.03314311470939508,-0.03314311470939508,,-0.04297414422035217,0.18153418600559235,0.009831029510957094,0.952004799520048,-0.15701478324133247,0.044678322934911,True,0.22777639742873712,
disease,AD,ALL,9,9,9,9,-0.03314311470939508,-0.03314311470939508,,-0.04297414422035217,0.18153418600559235,0.009831029510957094,0.952004799520048,-0.15701478324133247,0.044678322934911,True,0.22777639742873712,
stratum,AD,Oligo,9,9,9,9,-0.03314311470939508,-0.03314311470939508,,-0.04297414422035217,0.18153418600559235,0.009831029510957094,0.952004799520048,-0.15701478324133247,0.044678322934911,True,0.22777639742873712,0.952004799520048
