level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.29866200453552855,-0.29866200453552855,,-0.07450610399246216,0.23117104172706604,-0.2241559005430664,0.3431656834316568,-0.4581715788070766,-0.2123137868515041,False,0.15472993418752903,
disease,AD,ALL,9,9,9,9,-0.29866200453552855,-0.29866200453552855,,-0.07450610399246216,0.23117104172706604,-0.2241559005430664,0.3431656834316568,-0.4581715788070766,-0.2123137868515041,False,0.15472993418752903,
stratum,AD,Oligo,9,9,9,9,-0.29866200453552855,-0.29866200453552855,,-0.07450610399246216,0.23117104172706604,-0.2241559005430664,0.3431656834316568,-0.4581715788070766,-0.2123137868515041,False,0.15472993418752903,0.3431656834316568
