"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"EN","CERAD","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z;composition_PC3_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z + composition_PC3_z",81,81,1,4,19836,9,9,2.94134754308757,10,,"region_specific_pathology",1891,,"EN__CERAD__gene_results.csv","","","EN__CERAD__samples.csv"
"EN","Braak","complete","region","MEC",TRUE,"composition_PC1_z;composition_PC2_z;composition_PC3_z","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z +     composition_PC1_z + composition_PC2_z + composition_PC3_z",81,81,0,6,19836,9,9,2.86599461654565,10,,"region_specific_pathology",0,,"EN__Braak__gene_results.csv","","","EN__Braak__samples.csv"
