level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.11920552400464396,-0.11920552400464396,,-0.019250808283686638,0.21961377561092377,-0.09995471572095732,0.6543345665433457,-0.2375099440000532,-0.018565244370603307,False,0.18761811913949736,
disease,AD,ALL,9,9,9,9,-0.11920552400464396,-0.11920552400464396,,-0.019250808283686638,0.21961377561092377,-0.09995471572095732,0.6543345665433457,-0.2375099440000532,-0.018565244370603307,False,0.18761811913949736,
stratum,AD,Oligo,9,9,9,9,-0.11920552400464396,-0.11920552400464396,,-0.019250808283686638,0.21961377561092377,-0.09995471572095732,0.6543345665433457,-0.2375099440000532,-0.018565244370603307,False,0.18761811913949736,0.6543345665433457
