level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.1641367035631696,-0.1641367035631696,,-0.036781713366508484,0.259504497051239,-0.1273549901966611,0.6347365263473652,-0.3096514561782135,-0.06121432788710207,False,0.14062340864397707,
disease,AD,ALL,9,9,9,9,-0.1641367035631696,-0.1641367035631696,,-0.036781713366508484,0.259504497051239,-0.1273549901966611,0.6347365263473652,-0.3096514561782135,-0.06121432788710207,False,0.14062340864397707,
stratum,AD,Oligo,9,9,9,9,-0.1641367035631696,-0.1641367035631696,,-0.036781713366508484,0.259504497051239,-0.1273549901966611,0.6347365263473652,-0.3096514561782135,-0.06121432788710207,False,0.14062340864397707,0.6347365263473652
