level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.33210521560472794,-0.33210521560472794,,-0.03792142868041992,0.22140000760555267,-0.294183786924308,0.1852814718528147,-0.48381217800641485,-0.25015702573619564,False,0.16522020224223857,
disease,AD,ALL,9,9,9,9,-0.33210521560472794,-0.33210521560472794,,-0.03792142868041992,0.22140000760555267,-0.294183786924308,0.1852814718528147,-0.48381217800641485,-0.25015702573619564,False,0.16522020224223857,
stratum,AD,Oligo,9,9,9,9,-0.33210521560472794,-0.33210521560472794,,-0.03792142868041992,0.22140000760555267,-0.294183786924308,0.1852814718528147,-0.48381217800641485,-0.25015702573619564,False,0.16522020224223857,0.1852814718528147
