cohort,model,family,pathology,S,empirical_p_raw,empirical_p_Holm,passes_Holm_FWER05
RADC,standard_voom,two_co_primary_global_pathology_axes,CERAD,0.1063738422758625,0.3194680531946805,0.3194680531946805,False
RADC,standard_voom,two_co_primary_global_pathology_axes,Braak,0.1902803999822323,0.0261973802619738,0.0523947605239476,False
