cell_class,pathology,common_anchor_rows,common_loci,S_RADC_common,S_SEAAD_common,Delta_S_RADC_minus_SEAAD,bootstrap_median_Delta,bootstrap_CI95_lower,bootstrap_CI95_upper,bootstrap_centered_two_sided_p,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed,bootstrap_p_BH_six_contrasts,passes_BH_FDR05
Immune,CERAD,24,20,0.01480536508744117,0.11095062638662467,-0.09614526129918348,-0.09298217871152994,-0.499028486287223,0.28536881236608885,0.6308369163083691,False,10000,20260731,0.757004299570043,False
Immune,Braak,24,20,0.13743114258654426,0.0948643894236405,0.04256675316290377,0.05151123722465313,-0.31576083628139867,0.37368512303255863,0.815018498150185,False,10000,20260731,0.815018498150185,False
Oligo,CERAD,9,9,0.26911118923056354,-0.12916985237140097,0.39828104160196454,0.39749147358843384,0.08522837107059948,0.731914189493543,0.015198480151984802,True,10000,20260731,0.04559544045595441,True
Oligo,Braak,9,9,0.32498837392724167,-0.20932247660161274,0.5343108505288544,0.5277112508120041,0.2018564389458934,0.8928152369752829,0.0025997400259974,True,10000,20260731,0.0155984401559844,True
EN,CERAD,18,13,0.18842713334257416,-0.16560818332824429,0.35403531667081845,0.355001185152957,-0.07862787117236274,0.7957172543446992,0.11408859114088592,False,10000,20260731,0.17113288671132887,False
EN,Braak,18,13,0.29178421547346256,-0.08290836425820282,0.3746925797316653,0.3736242591408343,-0.05227314537138241,0.8040485748080285,0.08499150084991501,False,10000,20260731,0.16998300169983002,False
