level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.1067663830756654,0.1067663830756654,,0.023667482659220695,0.13282661139965057,0.0830989004164447,0.538046195380462,0.064599015236776,0.15972527697223243,False,0.08069036344555658,
disease,AD,ALL,25,25,21,21,0.1067663830756654,0.1067663830756654,,0.023667482659220695,0.13282661139965057,0.0830989004164447,0.538046195380462,0.064599015236776,0.15972527697223243,False,0.08069036344555658,
stratum,AD,Immune,25,25,21,21,0.1067663830756654,0.1067663830756654,,0.023667482659220695,0.13282661139965057,0.0830989004164447,0.538046195380462,0.064599015236776,0.15972527697223243,False,0.08069036344555658,0.538046195380462
