level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,0.04320674217829105,0.04320674217829105,,-0.08082682639360428,0.2215794026851654,0.12403356857189532,0.5842415758424158,-0.07418572331904012,0.16360492551793215,True,0.14949194181900463,
disease,AD,ALL,9,9,9,9,0.04320674217829105,0.04320674217829105,,-0.08082682639360428,0.2215794026851654,0.12403356857189532,0.5842415758424158,-0.07418572331904012,0.16360492551793215,True,0.14949194181900463,
stratum,AD,Oligo,9,9,9,9,0.04320674217829105,0.04320674217829105,,-0.08082682639360428,0.2215794026851654,0.12403356857189532,0.5842415758424158,-0.07418572331904012,0.16360492551793215,True,0.14949194181900463,0.5842415758424158
