level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.2394039404786619,0.2394039404786619,,0.0661473497748375,0.14765332639217377,0.1732565907038244,0.24787521247875213,0.20199391882918008,0.30025849708373314,False,0.07218989791092686,
disease,AD,ALL,25,25,21,21,0.2394039404786619,0.2394039404786619,,0.0661473497748375,0.14765332639217377,0.1732565907038244,0.24787521247875213,0.20199391882918008,0.30025849708373314,False,0.07218989791092686,
stratum,AD,Immune,25,25,21,21,0.2394039404786619,0.2394039404786619,,0.0661473497748375,0.14765332639217377,0.1732565907038244,0.24787521247875213,0.20199391882918008,0.30025849708373314,False,0.07218989791092686,0.24787521247875213
