level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.09871265222815956,0.09871265222815956,,0.03243032842874527,0.07945714890956879,0.06628232379941429,0.40645935406459355,0.07438058754203425,0.12695308835788746,False,0.06557918985712785,
disease,AD,ALL,72,72,36,36,0.09871265222815956,0.09871265222815956,,0.03243032842874527,0.07945714890956879,0.06628232379941429,0.40645935406459355,0.07438058754203425,0.12695308835788746,False,0.06557918985712785,
stratum,AD,Astro,8,8,7,7,0.07820100827816069,0.07820100827816069,,0.20899946987628937,0.19709014892578125,-0.1307984615981287,0.5110488951104889,-0.06869942472178114,0.24810288638691017,True,0.20853789001452064,0.7545245475452454
stratum,AD,EN,18,18,13,13,0.1855719766857765,0.1855719766857765,,0.07637907564640045,0.143589586019516,0.10919290103937604,0.45245475452454753,0.1216237651831845,0.255829043618451,False,0.1500150633880829,0.7545245475452454
stratum,AD,IN,10,10,8,8,0.27299429716537915,0.27299429716537915,,0.2027352750301361,0.1723048985004425,0.07025902213524304,0.6867313268673133,0.19725067952944478,0.3793725646657472,False,0.2568380077668966,0.7545245475452454
stratum,AD,Immune,24,24,20,20,-0.00365811107617568,-0.00365811107617568,,0.03558247536420822,0.1256755292415619,-0.039240586440383904,0.7545245475452454,-0.05396248675823181,0.048649673916499436,True,0.08299664606974139,0.7545245475452454
stratum,AD,OPC,3,3,3,3,-0.23102342987265945,-0.23102342987265945,,,,,,-0.3893816397933603,-0.03491178608652325,False,0.7209696307314997,
stratum,AD,Oligo,9,9,9,9,0.2691111892305636,0.2691111892305636,,-0.0640535056591034,0.1727595329284668,0.333164694889667,0.0537946205379462,0.1831285849627616,0.39875455632991696,False,0.17441723958679176,0.268973102689731
