level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.10637384227586259,0.10637384227586259,0.10201813910958668,0.023895327001810074,0.07904859632253647,0.08247851527405252,0.2996700329967003,0.08236153395838355,0.1352993637738377,False,0.06688541671445301,
disease,AD,ALL,72,72,36,36,0.10637384227586259,0.10637384227586259,0.10201813910958668,0.023895327001810074,0.07904859632253647,0.08247851527405252,0.2996700329967003,0.08236153395838355,0.1352993637738377,False,0.06688541671445301,
stratum,AD,Astro,8,8,7,7,0.07820100827816069,0.07820100827816069,0.09630428593791665,0.20899946987628937,0.19709014892578125,-0.1307984615981287,0.5110488951104889,-0.06869942472178114,0.24810288638691017,True,0.20853789001452064,0.7501749825017499
stratum,AD,EN,18,18,13,13,0.1884271333425742,0.1884271333425742,0.1810498437834249,0.06352025270462036,0.13909544050693512,0.12490688063795383,0.36676332366763326,0.12530682316041705,0.2579723798488903,False,0.14561083747648532,0.7501749825017499
stratum,AD,IN,10,10,8,8,0.2703755372136899,0.2703755372136899,0.24374189663449874,0.17809560894966125,0.1714392602443695,0.09227992826402864,0.6001399860013998,0.19343180935653967,0.39293249128276436,False,0.24235152007593352,0.7501749825017499
stratum,AD,Immune,24,24,20,20,0.014805365087441135,0.014805365087441135,0.012434304953838658,0.024254845455288887,0.1247982606291771,-0.009449480367847752,0.9414058594140586,-0.03470390693150773,0.06815498911588005,True,0.08531335086751153,0.9414058594140586
stratum,AD,OPC,3,3,3,3,-0.2369193228725817,-0.2369193228725817,-0.23614908554275882,,,,,-0.43384885497540904,-0.01643899281149208,False,0.6615803298477562,
stratum,AD,Oligo,9,9,9,9,0.2691111892305636,0.2691111892305636,0.2513284492160246,-0.0640535056591034,0.1727595329284668,0.333164694889667,0.0537946205379462,0.1831285849627616,0.39875455632991696,False,0.17441723958679176,0.268973102689731
