level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,18,18,13,13,-0.13371311999928953,-0.13371311999928953,,0.10897674411535263,0.16998876631259918,-0.24268986411464216,0.1548845115488451,-0.22479080583656272,-0.06522122130272671,False,0.11748496437398147,
disease,AD,ALL,18,18,13,13,-0.13371311999928953,-0.13371311999928953,,0.10897674411535263,0.16998876631259918,-0.24268986411464216,0.1548845115488451,-0.22479080583656272,-0.06522122130272671,False,0.11748496437398147,
stratum,AD,EN,18,18,13,13,-0.13371311999928953,-0.13371311999928953,,0.10897674411535263,0.16998876631259918,-0.24268986411464216,0.1548845115488451,-0.22479080583656272,-0.06522122130272671,False,0.11748496437398147,0.1548845115488451
