level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,72,72,36,36,0.19512634996231734,0.19512634996231734,,0.012909014709293842,0.08219841867685318,0.1822173352530235,0.027297270272972702,0.17271844314395152,0.22761190170249282,False,0.06429853812519876,
disease,AD,ALL,72,72,36,36,0.19512634996231734,0.19512634996231734,,0.012909014709293842,0.08219841867685318,0.1822173352530235,0.027297270272972702,0.17271844314395152,0.22761190170249282,False,0.06429853812519876,
stratum,AD,Astro,8,8,7,7,0.13964513854227545,0.13964513854227545,,0.12236723303794861,0.20465151965618134,0.01727790550432684,0.9357064293570643,0.01015476861354255,0.3132602780304025,False,0.20072651131370914,0.9357064293570643
stratum,AD,EN,18,18,13,13,0.29143311874289357,0.29143311874289357,,0.0343930646777153,0.13856899738311768,0.25704005406517827,0.062493750624937505,0.23410228792104126,0.36085091325470814,False,0.16769085781018964,0.15623437656234376
stratum,AD,IN,10,10,8,8,0.5012760976336379,0.5012760976336379,,0.24206149578094482,0.17713554203510284,0.25921460185269307,0.14558544145585442,0.44340862285474136,0.5694160992059129,False,0.22601028289711286,0.24264240242642401
stratum,AD,Immune,24,24,20,20,0.14191634037319686,0.14191634037319686,,0.03620162606239319,0.1323256492614746,0.10571471431080368,0.41785821417858215,0.09888736524505141,0.2017069071445832,False,0.08905388567660352,0.5223227677232277
stratum,AD,OPC,3,3,3,3,-0.4071903717222111,-0.4071903717222111,,,,,,-0.6648578565547676,-0.1457130196744662,False,0.6468952989855351,
stratum,AD,Oligo,9,9,9,9,0.3249883739272417,0.3249883739272417,,-0.041282135993242264,0.1767423450946808,0.366270509920484,0.036396360363963605,0.25781620881560496,0.4267527974335102,False,0.18771902814855698,0.15623437656234376
