"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"EN","CERAD","complete","region","DFC",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",80,80,1,4,20343,6,6,2.54774326052068,10,,"region_specific_pathology",78,,"EN__CERAD__gene_results.csv","","","EN__CERAD__samples.csv"
"EN","Braak","complete","region","DFC",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",80,80,0,6,20343,6,6,2.62174075461559,10,,"region_specific_pathology",0,,"EN__Braak__gene_results.csv","","","EN__Braak__samples.csv"
