"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Immune","CERAD","complete","region","DFC",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",80,80,1,4,21453,6,6,2.5186117963522,10,,"region_specific_pathology",97,,"Immune__CERAD__gene_results.csv","","","Immune__CERAD__samples.csv"
"Immune","Braak","complete","region","DFC",FALSE,"","~phenotype_value + age_z + sex_model + pmi_z + log10_n_cells_z",80,80,0,6,21453,6,6,2.71999888159696,10,,"region_specific_pathology",0,,"Immune__Braak__gene_results.csv","","","Immune__Braak__samples.csv"
