level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,18,18,13,13,-0.196625231393242,-0.196625231393242,,-0.013240475207567215,0.19126051664352417,-0.1833847561856748,0.3407659234076592,-0.291068109711438,-0.12977613677316538,False,0.11883381450743159,
disease,AD,ALL,18,18,13,13,-0.196625231393242,-0.196625231393242,,-0.013240475207567215,0.19126051664352417,-0.1833847561856748,0.3407659234076592,-0.291068109711438,-0.12977613677316538,False,0.11883381450743159,
stratum,AD,EN,18,18,13,13,-0.196625231393242,-0.196625231393242,,-0.013240475207567215,0.19126051664352417,-0.1833847561856748,0.3407659234076592,-0.291068109711438,-0.12977613677316538,False,0.11883381450743159,0.3407659234076592
