level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.0587402483735329,0.0587402483735329,,0.02486235648393631,0.14295388758182526,0.03387789188959659,0.8122187781221878,0.011924336989757417,0.111437287526714,False,0.08037858090425395,
disease,AD,ALL,25,25,21,21,0.0587402483735329,0.0587402483735329,,0.02486235648393631,0.14295388758182526,0.03387789188959659,0.8122187781221878,0.011924336989757417,0.111437287526714,False,0.08037858090425395,
stratum,AD,Immune,25,25,21,21,0.0587402483735329,0.0587402483735329,,0.02486235648393631,0.14295388758182526,0.03387789188959659,0.8122187781221878,0.011924336989757417,0.111437287526714,False,0.08037858090425395,0.8122187781221878
