level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,25,25,21,21,0.01921572658457102,0.01921572658457102,,0.04948984459042549,0.13658593595027924,-0.030274118005854472,0.82991700829917,-0.029769781657703664,0.0698045129985737,True,0.07166201832723797,
disease,AD,ALL,25,25,21,21,0.01921572658457102,0.01921572658457102,,0.04948984459042549,0.13658593595027924,-0.030274118005854472,0.82991700829917,-0.029769781657703664,0.0698045129985737,True,0.07166201832723797,
stratum,AD,Immune,25,25,21,21,0.01921572658457102,0.01921572658457102,,0.04948984459042549,0.13658593595027924,-0.030274118005854472,0.82991700829917,-0.029769781657703664,0.0698045129985737,True,0.07166201832723797,0.82991700829917
