level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,9,9,9,9,-0.32825920063138625,-0.32825920063138625,,0.06315061450004578,0.20026536285877228,-0.391409815131432,0.05039496050394961,-0.45869518477577587,-0.2534193516445904,False,0.16337862031585007,
disease,AD,ALL,9,9,9,9,-0.32825920063138625,-0.32825920063138625,,0.06315061450004578,0.20026536285877228,-0.391409815131432,0.05039496050394961,-0.45869518477577587,-0.2534193516445904,False,0.16337862031585007,
stratum,AD,Oligo,9,9,9,9,-0.32825920063138625,-0.32825920063138625,,0.06315061450004578,0.20026536285877228,-0.391409815131432,0.05039496050394961,-0.45869518477577587,-0.2534193516445904,False,0.16337862031585007,0.05039496050394961
