"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Oligo","CERAD","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",240,83,1,4,20373,10,10,4.27928543594401,24,0.364582607752875,"equal_region_average_pathology",3216,1,"Oligo__CERAD__gene_results.csv","Oligo__CERAD__region_contrasts.csv","Oligo__CERAD__joint_region_interaction.csv","Oligo__CERAD__samples.csv"
"Oligo","Braak","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",240,83,0,6,20373,10,10,4.3578447847303,24,0.368197250831825,"equal_region_average_pathology",1462,2,"Oligo__Braak__gene_results.csv","Oligo__Braak__region_contrasts.csv","Oligo__Braak__joint_region_interaction.csv","Oligo__Braak__samples.csv"
