level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,18,18,13,13,-0.1205739051263942,-0.1205739051263942,,-0.045981522649526596,0.16944271326065063,-0.0745923824768676,0.6583341665833417,-0.18289850065862123,-0.05228331502522657,False,0.16991294500447038,
disease,AD,ALL,18,18,13,13,-0.1205739051263942,-0.1205739051263942,,-0.045981522649526596,0.16944271326065063,-0.0745923824768676,0.6583341665833417,-0.18289850065862123,-0.05228331502522657,False,0.16991294500447038,
stratum,AD,EN,18,18,13,13,-0.1205739051263942,-0.1205739051263942,,-0.045981522649526596,0.16944271326065063,-0.0745923824768676,0.6583341665833417,-0.18289850065862123,-0.05228331502522657,False,0.16991294500447038,0.6583341665833417
