level,disease,cell_class,anchor_rows,matched_anchor_rows,loci,matched_null_loci,S_locus_equal_moderated_all_anchors,S_locus_equal_moderated_matched_anchors,S_locus_equal_HC3_matched_anchors,matched_null_mean,matched_null_sd,difference_from_null_mean,empirical_p_two_sided,leave_one_locus_min,leave_one_locus_max,leave_one_locus_crosses_zero,maximum_absolute_locus_contribution_share,empirical_FDR_BH_within_strata
global,ALL,ALL,18,18,13,13,0.07435226797546567,0.07435226797546567,,0.09668483585119247,0.17042559385299683,-0.022332567875726808,0.9038096190380962,0.0027770079741189107,0.15057191119086513,False,0.13007787136986732,
disease,AD,ALL,18,18,13,13,0.07435226797546567,0.07435226797546567,,0.09668483585119247,0.17042559385299683,-0.022332567875726808,0.9038096190380962,0.0027770079741189107,0.15057191119086513,False,0.13007787136986732,
stratum,AD,EN,18,18,13,13,0.07435226797546567,0.07435226797546567,,0.09668483585119247,0.17042559385299683,-0.022332567875726808,0.9038096190380962,0.0027770079741189107,0.15057191119086513,False,0.13007787136986732,0.9038096190380962
