"class","phenotype","status","analysis","region","composition_adjusted","composition_columns","model_formula","n_samples","n_donors","phenotype_min","phenotype_max","genes_tested","design_rank","design_columns","design_condition_number","minimum_gene_samples","consensus_correlation","main_effect","fdr05_genes","joint_interaction_fdr05_genes","result_file","region_contrast_file","joint_interaction_file","sample_file"
"Immune","CERAD","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",244,84,1,4,21584,10,10,4.11493042348205,25,0.324732774880373,"equal_region_average_pathology",1885,0,"Immune__CERAD__gene_results.csv","Immune__CERAD__region_contrasts.csv","Immune__CERAD__joint_region_interaction.csv","Immune__CERAD__samples.csv"
"Immune","Braak","complete","repeated","DFC_MEC_MTG",FALSE,"","~phenotype_value * region_model + age_z + sex_model + pmi_z +     log10_n_cells_z",244,84,0,6,21584,10,10,4.20165536088782,25,0.328699150428631,"equal_region_average_pathology",638,0,"Immune__Braak__gene_results.csv","Immune__Braak__region_contrasts.csv","Immune__Braak__joint_region_interaction.csv","Immune__Braak__samples.csv"
