cell_class,pathology,common_anchor_rows,common_loci,S_RADC_common,S_SEAAD_DFC_common,Delta_S_RADC_minus_SEAAD_DFC,bootstrap_median_Delta,bootstrap_CI95_lower,bootstrap_CI95_upper,bootstrap_centered_two_sided_p,low_locus_count_exploratory,bootstrap_p_BH_six_contrasts,passes_BH05
Immune,CERAD,24,20,0.01480536508744117,0.2034918590193382,-0.18868649393189704,-0.18193363638076254,-0.534621047873444,0.12978162865494905,0.26517348265173485,False,0.3182081791820818,False
Immune,Braak,24,20,0.13743114258654426,0.08797665753595715,0.04945448505058714,0.05001278818876364,-0.2885690159757457,0.34882167956087173,0.7604239576042395,False,0.7604239576042394,False
Oligo,CERAD,9,9,0.26911118923056354,0.06113873026651985,0.2079724589640437,0.20579520342730126,0.017578423861570307,0.4226293894268006,0.042495750424957505,True,0.10158984101589841,False
Oligo,Braak,9,9,0.32498837392724167,-0.03314311470939516,0.35813148863663685,0.3487541493594112,0.09481564987902427,0.665790513807629,0.015598440155984402,True,0.09359064093590641,False
EN,CERAD,18,13,0.18842713334257416,-0.14956889231314197,0.3379960256557162,0.3327257007527323,-0.12106064659506485,0.7875551981994812,0.15298470152984703,False,0.22947705229477056,False
EN,Braak,18,13,0.29178421547346256,-0.12561212290417642,0.4173963383776389,0.41587134151918276,-0.004038048829939426,0.8333431127587463,0.050794920507949204,False,0.10158984101589841,False
