pathology,contrast,S,empirical_p_raw,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,leave_one_locus_min,leave_one_locus_max,maximum_absolute_locus_contribution_share,loci
CERAD,middle_vs_low,0.03327051123117,0.9985001499850016,0.03379245782739688,-0.12886399378404964,0.1959108005290903,0.0075117744495072,0.06135134415921,0.0651182292483727,36
CERAD,high_vs_low,0.1082603397875737,0.2772722727727227,0.10787464613568887,-0.05965321699123924,0.2767487966301633,0.0838099636043712,0.137359438216808,0.0600670959877475,36
Braak,middle_vs_low,0.1352314582002563,0.1796820317968203,0.13503075335773063,-0.04701935659675159,0.3083511008628519,0.1114721919783042,0.1658397405525735,0.0551613608485776,36
Braak,high_vs_low,0.2036479748792178,0.0500949905009499,0.20477295887054356,0.03078699736699305,0.37178539157703455,0.1813733829765526,0.2345846222771439,0.0570743299801451,36
