pathology,S_HC3,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,anchor_rows,loci
CERAD,0.1020181391095866,0.10075746565216043,-0.04366269664081417,0.25253893466045035,72,36
Braak,0.1745927115348478,0.17583467947370207,0.020001515685666934,0.3230872332519503,72,36
